CX,CG,"ON CALL
TIME?",TTL,IHSS ?,REL ?
CX_YO4CW,CG_37GC9,NO,6.50,N,N
CX_YO4CW,CG_KKIT3,NO,33.00,N,N
CX_C2L1J,CG_WDJF2,NO,6.50,N,N
CX_EEISE,CG_U4B1H,NO,38.33,Y,N
CX_CKIYY,CG_M2G5W,NO,28.50,N,N
CX_CKIYY,CG_KA0RO,NO,19.00,N,N
CX_CKIYY,CG_20H1K,NO,14.25,N,N
CX_DW0Q0,CG_DD9YA,NO,73.00,Y,N
CX_WQ3XU,CG_RI282,NO,25.00,N,N
CX_DIXRF,CG_FU7W2,NO,5.50,N,N
CX_U2XTV,CG_P69RH,NO,41.50,Y,N
CX_4I9FL,CG_DS1WO,NO,19.00,Y,N
CX_J22S3,CG_RIUZK,NO,0.00,N,N
CX_J22S3,CG_WDJF2,NO,12.92,N,N
CX_MDEVC,CG_HZBRR,NO,48.00,Y,Y
CX_DBJES,CG_L0AMN,NO,16.00,N,N
CX_DBJES,CG_A8SIU,NO,3.25,N,N
CX_DBJES,CG_O4109,NO,4.50,N,N
CX_DBJES,CG_3GU1H,NO,0.00,N,N
CX_DBJES,CG_01ETC,NO,3.50,N,N
CX_DBJES,CG_LYMD4,NO,11.25,N,N
CX_AVE3C,CG_3GU1H,NO,0.00,N,N
CX_AVE3C,CG_RI282,NO,10.50,N,N
CX_OFZFG,CG_L0AMN,NO,8.50,Y,N
CX_OFZFG,CG_SV84R,NO,49.00,Y,N
CX_1ZUB4,CG_00E5R,NO,49.00,Y,Y
CX_C86XY,CG_WDJF2,NO,1.08,N,N
CX_96EOB,CG_RIUZK,NO,33.50,N,N
CX_ZRJKJ,CG_K8FJP,NO,54.00,Y,Y
CX_1GO4D,CG_EANVS,NO,0.00,Y,Y
CX_9I7LN,CG_FU7W2,NO,21.00,N,N
CX_Z4XG2,CG_63I1H,NO,31.00,Y,N
CX_E925E,CG_37GC9,NO,13.83,N,N
CX_E925E,CG_G1DS2,NO,27.75,N,N
CX_E925E,CG_S2NZE,NO,4.00,N,N
CX_ZOQTH,CG_7CYP0,YES,3.75,N,N
CX_ZOQTH,CG_37GC9,NO,7.25,N,N
CX_ZOQTH,CG_G1DS2,NO,20.75,N,N
CX_ZOQTH,CG_S2NZE,NO,8.50,N,N
CX_7Y8A8,CG_JJT2G,NO,17.00,N,N
CX_2KJ4R,CG_EGGWU,NO,76.00,Y,Y
CX_IQ98U,CG_JLMZ5,NO,80.00,Y,N
CX_ZPPBR,CG_S2NZE,NO,27.50,N,N
CX_L6QTM,CG_SVXII,NO,56.50,Y,Y
CX_L6QTM,CG_3Q4IG,NO,44.25,Y,N
CX_DCGZQ,CG_O4109,NO,15.50,N,N
CX_DCGZQ,CG_RI282,YES,2.25,N,N
CX_K4N0I,CG_C4ZLQ,NO,49.83,Y,Y
CX_K4N0I,CG_37GC9,NO,6.50,N,N
CX_7UP17,CG_I5NBL,NO,32.00,N,N
CX_2SK3R,CG_LZ4JS,NO,49.50,Y,Y
CX_NWNEA,CG_PWSBE,NO,32.50,Y,Y
CX_99RAM,CG_T4S8S,NO,64.00,Y,Y
CX_Q0OI3,CG_4194G,NO,63.50,Y,Y
CX_F6OR0,CG_UXBIH,NO,42.50,Y,Y
CX_UEM4D,CG_9UQ03,NO,80.00,Y,N
CX_KBE6K,CG_JJ6A2,NO,79.00,Y,Y
CX_KBE6K,CG_P5RYP,NO,42.00,Y,Y
CX_TGAR2,CG_UPTJU,NO,44.00,Y,Y
CX_DNI5C,CG_8IUVG,NO,38.00,Y,N
CX_K9Y53,CG_KJ7PC,NO,46.50,Y,Y
CX_83PBM,CG_35FPL,NO,16.75,N,N
CX_QJ9BC,CG_35FPL,NO,8.50,N,N
CX_4N117,CG_7PMO6,NO,23.00,Y,Y
CX_4N117,CG_WO33R,NO,33.50,Y,Y
CX_TGYV3,CG_663W1,NO,59.50,N,N
CX_NC52G,CG_U2KAX,YES,9.00,N,N
CX_NC52G,CG_RIUZK,NO,48.00,N,N
CX_BDVDB,CG_YGK6R,NO,80.00,Y,Y
CX_MKQBN,CG_LEAFH,NO,45.50,Y,Y
CX_TJPSG,CG_AGQZZ,NO,27.00,Y,Y
CX_R228Y,CG_TAYET,NO,80.00,Y,Y
CX_5ZCOK,CG_O4109,NO,10.00,N,N
CX_5ZCOK,CG_R5GA9,NO,76.50,Y,Y
CX_5ZCOK,CG_RI282,YES,4.50,Y,N
CX_28PUG,CG_VB5TG,NO,64.00,Y,Y
CX_28PUG,CG_I5NBL,NO,8.25,Y,N
CX_FE4E7,CG_IXEO3,NO,41.50,N,N
CX_C1EUL,CG_NIERI,NO,23.50,N,N
CX_H5NQY,CG_OEDN7,NO,74.00,Y,Y
CX_MKSXT,CG_4DMFY,NO,19.50,N,N
CX_7GAAX,CG_35FPL,NO,13.75,N,N
CX_PX4WL,CG_NIERI,NO,15.00,Y,N
CX_OTFXR,CG_M2G5W,NO,25.50,Y,N
CX_OTFXR,CG_4DMFY,NO,17.00,Y,N
CX_T5BPK,CG_FJ24K,NO,80.00,Y,Y
CX_T5BPK,CG_TEREL,NO,80.00,Y,Y
CX_T5BPK,CG_QJK9V,NO,35.00,Y,Y
CX_ZZ9V4,CG_S9AHO,NO,64.00,Y,N
CX_5XEJ7,CG_4XZDJ,NO,28.00,Y,Y
CX_R34O5,CG_O1HO8,NO,69.00,N,N
CX_A8V66,CG_80SSD,NO,44.50,Y,Y
CX_A8V66,CG_WUE9P,NO,38.50,Y,Y
CX_6FR7W,CG_3ASL1,NO,0.00,Y,N
CX_6FR7W,CG_1BP9E,NO,0.00,Y,N
CX_C6OK0,CG_GDZ94,NO,46.00,Y,Y
CX_C2PP3,CG_FUJ2B,NO,84.00,Y,N
CX_3HGMX,CG_JJT2G,NO,21.00,N,N
CX_3HGMX,CG_3Q4IG,NO,10.50,N,N
CX_7QOI4,CG_MQTDE,NO,80.00,Y,Y
CX_M9F3E,CG_A8SIU,NO,4.75,N,N
CX_M9F3E,CG_A8SIU,YES,4.75,N,N
CX_M9F3E,CG_RIUZK,NO,9.50,N,N
CX_VHRJV,CG_37GC9,NO,1.75,N,Y
CX_VHRJV,CG_R2G6G,NO,42.50,Y,Y
CX_ZBFOM,CG_BHY5H,NO,30.50,Y,Y
CX_37HL9,CG_S2NZE,NO,21.50,N,N
CX_PXJU6,CG_ONVI4,NO,38.00,Y,Y
CX_AU6KH,CG_7CYP0,NO,8.25,N,N
CX_87VGY,CG_3Q4IG,NO,17.25,N,N
CX_87VGY,CG_VV3QG,NO,49.00,N,N
CX_L9SP4,CG_57H0I,NO,79.00,N,N
CX_PN8LY,CG_L0AMN,NO,27.00,N,N
CX_U0WZ8,CG_29VOH,NO,36.50,Y,N
CX_AAOQH,CG_MW2HD,NO,78.50,Y,Y
CX_HPNOW,CG_WB6ON,NO,66.50,Y,N
CX_DVT23,CG_69OL9,NO,44.00,Y,Y
CX_VGKP3,CG_WA8IJ,NO,71.00,Y,Y
CX_QV0QA,CG_KA0RO,NO,53.00,N,N
CX_QV0QA,CG_BSSO0,NO,17.00,N,Y
CX_S8XNP,CG_R9BHT,NO,61.50,Y,Y
CX_59ZQD,CG_ZE7UK,NO,17.00,N,Y
CX_GAT56,CG_O1HO8,NO,32.50,Y,N
CX_CQZDC,CG_7CYP0,NO,8.00,N,N
CX_CQZDC,CG_RI282,YES,4.25,N,N
CX_CQZDC,CG_U2KAX,NO,3.75,N,N
CX_HMP6C,CG_YJAF2,NO,58.50,Y,Y
CX_03H4J,CG_3GDLB,NO,17.00,N,Y
CX_61EWX,CG_2X0CE,NO,32.00,Y,Y
CX_RYMNC,CG_I4JFI,NO,56.50,Y,Y
CX_WZ61J,CG_8G3O2,NO,35.00,Y,Y
CX_23PAF,CG_LI3EX,NO,79.00,Y,Y
CX_F2KO5,CG_OJCTR,NO,46.50,N,N
CX_KWGQI,CG_P6B74,NO,80.00,Y,N
CX_KWGQI,CG_MYJI3,NO,33.00,Y,N
CX_8AYSH,CG_GX2A2,NO,49.50,Y,N
CX_PXX9A,CG_LB1XH,NO,66.00,Y,Y
CX_7IDEJ,CG_OVREU,NO,42.50,Y,Y
CX_29R8Y,CG_44EFL,NO,51.00,Y,N
CX_ZHPCZ,CG_H5I10,NO,74.50,Y,Y
CX_WP39J,CG_R13MF,NO,46.50,N,N
CX_GEWZX,CG_D8MZ6,NO,17.00,N,Y
CX_K5R65,CG_L0AMN,YES,8.75,Y,N
CX_K5R65,CG_A8SIU,NO,7.75,Y,N
CX_K5R65,CG_J9T58,NO,5.50,Y,N
CX_HGPIF,CG_REZM4,NO,63.50,Y,Y
CX_ATX9G,CG_ROJ7M,NO,55.00,Y,Y
CX_CF1DC,CG_ZI6E0,NO,46.00,Y,Y
CX_TA3DI,CG_WJ1WQ,NO,53.50,Y,N
CX_GYU2D,CG_7QH9D,NO,43.50,Y,Y
CX_334Z0,CG_WDJF2,NO,8.25,N,N
CX_334Z0,CG_TOXQU,NO,17.00,N,Y
CX_6G2XO,CG_K1BU8,NO,23.50,Y,Y
CX_K6PLD,CG_OLHKU,NO,44.00,Y,Y
CX_38IZM,CG_C5RDD,NO,17.00,N,Y
CX_B61HP,CG_M8VW1,NO,20.00,Y,Y
CX_MHEX7,CG_DDX5M,NO,34.00,N,N
CX_MHEX7,CG_1UK0Q,NO,25.50,N,N
CX_96IJX,CG_1NWRZ,NO,42.00,Y,N
CX_CMEG7,CG_1R9I6,NO,23.00,N,N
CX_8YJYL,CG_NIERI,NO,24.00,N,N
CX_BBPK5,CG_WDJF2,NO,19.00,N,N